Array,layer_thick,orientation,infill_pattern,infill_density,mwcnt,graphene,tensile_str,flexural_str
L1,0.19,Flat,Linear,50,0,0,24.96,29.64
L2,0.19,Flat,Linear,50,0,0,22.19,42.01
L3,0.19,Flat,Linear,50,0,0,26.01,40.38
L4,0.19,On Long Edge,Grid,70,0,0,28.34,43.45
L5,0.19,On Long Edge,Grid,70,0,0,27.31,43.66
L6,0.19,On Long Edge,Grid,70,0,0,27.26,44.49
L7,0.19,On Short Edge,Honeycomb,90,0,0,5.79,12.63
L8,0.19,On Short Edge,Honeycomb,90,0,0,8.36,16.47
L9,0.19,On Short Edge,Honeycomb,90,0,0,6.36,17.63
L10,0.29,Flat,Grid,90,0,0,26.61,35.19
L11,0.29,Flat,Grid,90,0,0,26.8,39.28
L12,0.29,Flat,Grid,90,0,0,24.7,39.33
L13,0.29,On Long Edge,Honeycomb,50,0,0,24.77,38.88
L14,0.29,On Long Edge,Honeycomb,50,0,0,23.14,36.52
L15,0.29,On Long Edge,Honeycomb,50,0,0,22.67,38.48
L16,0.29,On Short Edge,Linear,70,0,0,8.89,12.31
L17,0.29,On Short Edge,Linear,70,0,0,8.4,14.21
L18,0.29,On Short Edge,Linear,70,0,0,7.63,17.52
L19,0.39,Flat,Honeycomb,70,0,0,20.93,26.15
L20,0.39,Flat,Honeycomb,70,0,0,19.6,28.06
L21,0.39,Flat,Honeycomb,70,0,0,19.95,26.09
L22,0.39,On Long Edge,Linear,90,0,0,23.33,43.6
L23,0.39,On Long Edge,Linear,90,0,0,23.54,45.3
L24,0.39,On Long Edge,Linear,90,0,0,23.52,43.96
L25,0.39,On Short Edge,Grid,50,0,0,11.4,15.16
L26,0.39,On Short Edge,Grid,50,0,0,9.63,16.56
L27,0.39,On Short Edge,Grid,50,0,0,10.03,14.74
L1,0.19,Flat,Linear,50,0.5,0,24.69,37.97
L2,0.19,Flat,Linear,50,0.5,0,26.4,35.29
L3,0.19,Flat,Linear,50,0.5,0,25.31,42.96
L4,0.19,On Long Edge,Grid,70,0.5,0,30.17,38.74
L5,0.19,On Long Edge,Grid,70,0.5,0,30.22,40.13
L6,0.19,On Long Edge,Grid,70,0.5,0,28.99,43.98
L7,0.19,On Short Edge,Honeycomb,90,0.5,0,9.65,15.13
L8,0.19,On Short Edge,Honeycomb,90,0.5,0,7.56,21.56
L9,0.19,On Short Edge,Honeycomb,90,0.5,0,10.5,25.37
L10,0.29,Flat,Grid,90,0.5,0,27.1,35.99
L11,0.29,Flat,Grid,90,0.5,0,25.59,37.85
L12,0.29,Flat,Grid,90,0.5,0,26.53,42.11
L13,0.29,On Long Edge,Honeycomb,50,0.5,0,24.73,40.26
L14,0.29,On Long Edge,Honeycomb,50,0.5,0,24.76,37.63
L15,0.29,On Long Edge,Honeycomb,50,0.5,0,25.55,41.17
L16,0.29,On Short Edge,Linear,70,0.5,0,6.96,13.91
L17,0.29,On Short Edge,Linear,70,0.5,0,7.69,24.28
L18,0.29,On Short Edge,Linear,70,0.5,0,9.12,17.66
L19,0.39,Flat,Honeycomb,70,0.5,0,29.09,27.58
L20,0.39,Flat,Honeycomb,70,0.5,0,20.25,23.92
L21,0.39,Flat,Honeycomb,70,0.5,0,19.47,28.05
L22,0.39,On Long Edge,Linear,90,0.5,0,27.47,36.31
L23,0.39,On Long Edge,Linear,90,0.5,0,27.92,37.28
L24,0.39,On Long Edge,Linear,90,0.5,0,26.94,45.98
L25,0.39,On Short Edge,Grid,50,0.5,0,11.64,16.86
L26,0.39,On Short Edge,Grid,50,0.5,0,10.93,15.69
L27,0.39,On Short Edge,Grid,50,0.5,0,9.41,18.83
L1,0.19,Flat,Linear,50,1,0,27.57,45.97
L2,0.19,Flat,Linear,50,1,0,28.54,44.51
L3,0.19,Flat,Linear,50,1,0,29.32,47.15
L4,0.19,On Long Edge,Grid,70,1,0,36.71,47.41
L5,0.19,On Long Edge,Grid,70,1,0,37.12,49
L6,0.19,On Long Edge,Grid,70,1,0,36.45,48.45
L7,0.19,On Short Edge,Honeycomb,90,1,0,12.81,22.73
L8,0.19,On Short Edge,Honeycomb,90,1,0,11.49,18.6
L9,0.19,On Short Edge,Honeycomb,90,1,0,11.62,24.67
L10,0.29,Flat,Grid,90,1,0,29.06,43.23
L11,0.29,Flat,Grid,90,1,0,30.71,43.24
L12,0.29,Flat,Grid,90,1,0,30.28,42.7
L13,0.29,On Long Edge,Honeycomb,50,1,0,34.51,46.9
L14,0.29,On Long Edge,Honeycomb,50,1,0,34.04,45.75
L15,0.29,On Long Edge,Honeycomb,50,1,0,33.88,46.13
L16,0.29,On Short Edge,Linear,70,1,0,10.16,21.54
L17,0.29,On Short Edge,Linear,70,1,0,11.4,17.68
L18,0.29,On Short Edge,Linear,70,1,0,11.46,17.45
L19,0.39,Flat,Honeycomb,70,1,0,17.39,29.49
L20,0.39,Flat,Honeycomb,70,1,0,18.96,27.22
L21,0.39,Flat,Honeycomb,70,1,0,18.69,30.22
L22,0.39,On Long Edge,Linear,90,1,0,36.78,48.11
L23,0.39,On Long Edge,Linear,90,1,0,36.58,47.34
L24,0.39,On Long Edge,Linear,90,1,0,34.58,47.64
L25,0.39,On Short Edge,Grid,50,1,0,14.12,17.85
L26,0.39,On Short Edge,Grid,50,1,0,13.22,16.91
L27,0.39,On Short Edge,Grid,50,1,0,12.13,19.08
L1,0.19,Flat,Linear,50,1.5,0,24.96,36.57
L2,0.19,Flat,Linear,50,1.5,0,22.19,40.05
L3,0.19,Flat,Linear,50,1.5,0,26.01,39.89
L4,0.19,On Long Edge,Grid,70,1.5,0,28.34,42.02
L5,0.19,On Long Edge,Grid,70,1.5,0,27.31,42.27
L6,0.19,On Long Edge,Grid,70,1.5,0,27.26,39.75
L7,0.19,On Short Edge,Honeycomb,90,1.5,0,5.79,13.88
L8,0.19,On Short Edge,Honeycomb,90,1.5,0,8.36,14.29
L9,0.19,On Short Edge,Honeycomb,90,1.5,0,6.36,17.55
L10,0.29,Flat,Grid,90,1.5,0,26.61,39.94
L11,0.29,Flat,Grid,90,1.5,0,26.8,39.44
L12,0.29,Flat,Grid,90,1.5,0,24.7,38.73
